number of peaks:;354
number of valleys:;273
graphene surface area:;14595257.49510811

wrinkle ind;average height;middle height;middle width
0;40.60699585537997;41.03953734734785;38.5094038962352
1;41.82823112858953;42.296699837239586;140.09853515625
2;42.324530908385995;42.75476133510043;41.76931308766922
3;42.49303812839674;42.14719649832589;33.67549680821691
4;41.75688793945312;42.296699837239586;37.359609375
5;42.1514785394436;42.39548162913603;178.43858373019316
6;41.61617608881353;41.635171689789864;197.9089824390577
7;42.672209615071615;42.39548162913603;33.67549680821691
8;41.5953186907087;41.75784327129289;86.10964488497716
9;41.48205176285628;41.57441018125;158.50339878925806
10;42.01750340605945;42.14719649832589;125.30793926300765
11;41.64156877170139;41.49556959443934;133.72705050628792
12;41.83102711123512;41.63968183992347;267.45410101257585
13;41.762136423938685;41.75784327129289;88.60609358938473
14;41.593818454558935;41.45438835079308;20.88465654383461
15;41.551174560546876;41.65203239397322;50.296913403635564
16;42.961055027173906;42.75476133510043;127.03640628298467
17;42.580709610849055;42.75476133510043;97.51144323204203
18;41.32071441915761;41.333517602539054;33.67549680821691
19;41.70962583705357;41.75784327129289;105.66893252617206
20;41.51928237680288;41.65203239397322;67.99551541764866
21;41.592990759698274;41.65439255099827;50.296913403635564
22;41.296738081287195;40.46940782552083;33.67549680821691
23;42.04610325168919;42.11405255268895;33.67549680821691
24;41.453559858842326;41.65439255099827;20.88465654383461
25;41.61611324307528;41.57441018125;125.30793926300765
26;41.89009826330236;41.82956519717261;286.50825994922087
27;42.582140595407196;42.11405255268895;183.9747401325118
28;41.30774651692709;40.726316628196024;140.09853515625
29;41.31554797691232;40.45304283992686;101.02649042465075
30;40.93228175019055;41.667597323330966;158.50339878925806
31;40.82451962239584;41.57441018125;71.13057708092653
32;40.86940958180147;40.826466248394695;235.7284776575184
33;40.2071032213185;41.18425251652644;448.5098515903014
34;40.892693261718755;40.826466248394695;132.08616565771507
35;40.540003962862315;40.726316628196024;140.40952007865351
36;40.16605456090857;40.826466248394695;330.21541414428765
37;40.50613962053572;40.826466248394695;196.36020192372928
38;40.39642815896739;40.33855936902105;185.39176805233282
39;40.41702233072917;40.33855936902105;230.67857124661558
40;40.3224737010381;40.371745267630914;112.46731742894946
41;41.53398512486049;40.602446110733695;178.43858373019316
42;40.66563482392724;40.602446110733695;108.92104253791825
43;40.31019832710598;41.18425251652644;218.64150825804128
44;40.4054930078125;40.634091955850295;181.34810027438004
45;40.798826591796875;40.79040847439236;54.46052126895913
46;41.217706679687495;40.826466248394695;47.62434430583223
